Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_PHONE	GAZE	STATE	58.567	66.166	7.599	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	1757	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_HMI	GAZE	STATE	66.167	67.266	1.099	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	1985	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_SCENE	GAZE	STATE	67.267	68.499	1.232	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2018	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_PHONE	GAZE	STATE	68.500	83.866	15.366	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2055	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_HMI	GAZE	STATE	83.867	84.632	0.765	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2516	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_SCENE	GAZE	STATE	84.633	85.599	0.966	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2539	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_HMI	GAZE	STATE	85.600	86.566	0.966	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2568	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_PHONE	GAZE	STATE	86.567	88.466	1.899	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2597	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_HMI	GAZE	STATE	88.467	91.199	2.732	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2654	NA				
P009_R1_B	2026-08-18 14:13:13.722		Media file	player #1:实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4|player #2:实验数据_校准版/P009/P009_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	0.0	318.000	418.667|418.666	30.000|30.000	No focal subject	317.947	GAZE_SCENE	GAZE	STATE	91.200	92.332	1.132	实验数据_校准版/P009/P009_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	2737	NA				
