Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_PHONE	GAZE	STATE	160.700	165.632	4.932	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	4821	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_HMI	GAZE	STATE	165.633	173.999	8.366	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	4969	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_SCENE	GAZE	STATE	174.000	175.399	1.399	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	5220	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_PHONE	GAZE	STATE	175.400	207.099	31.699	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	5262	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_HMI	GAZE	STATE	207.100	208.799	1.699	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6213	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_PHONE	GAZE	STATE	208.800	209.266	0.466	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6264	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_SCENE	GAZE	STATE	209.267	210.099	0.832	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6278	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_HMI	GAZE	STATE	210.100	212.466	2.366	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6303	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_PHONE	GAZE	STATE	212.467	215.332	2.865	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6374	NA				
P016_R1_A	2026-08-19 16:02:39.329		Media file	player #1:实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P016/P016_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	297.833	494.533|494.533	30.000|30.000	No focal subject	297.803	GAZE_HMI	GAZE	STATE	215.333	217.332	1.999	实验数据_校准版/P016/P016_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6460	NA				
