Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_PHONE	GAZE	STATE	81.600	108.366	26.766	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2448	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_SCENE	GAZE	STATE	108.367	109.232	0.865	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3251	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_PHONE	GAZE	STATE	109.233	111.999	2.766	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3277	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_HMI	GAZE	STATE	112.000	112.966	0.966	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3360	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_SCENE	GAZE	STATE	112.967	115.499	2.532	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3389	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_PHONE	GAZE	STATE	115.500	164.899	49.399	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3465	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_SCENE	GAZE	STATE	164.900	167.066	2.166	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4947	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_PHONE	GAZE	STATE	167.067	215.232	48.165	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	5012	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_SCENE	GAZE	STATE	215.233	217.299	2.066	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6457	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_HMI	GAZE	STATE	217.300	217.499	0.199	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6519	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_PHONE	GAZE	STATE	217.500	220.432	2.932	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6525	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_HMI	GAZE	STATE	220.433	221.866	1.433	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6613	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_PHONE	GAZE	STATE	221.867	232.299	10.432	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6656	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_SCENE	GAZE	STATE	232.300	234.332	2.032	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6969	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_HMI	GAZE	STATE	234.333	236.599	2.266	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7030	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_SCENE	GAZE	STATE	236.600	237.499	0.899	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7098	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_HMI	GAZE	STATE	237.500	239.099	1.599	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7126	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_PHONE	GAZE	STATE	239.100	287.866	48.766	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7173	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_SCENE	GAZE	STATE	287.867	289.499	1.632	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	8636	NA				
P017_R1_B	2026-08-19 16:19:54.616		Media file	player #1:实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P017/P017_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	324.400	435.933|435.933	30.000|30.000	No focal subject	324.358	GAZE_HMI	GAZE	STATE	289.500	293.699	4.199	实验数据_校准版/P017/P017_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	8685	NA				
