Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_PHONE	GAZE	STATE	46.733	52.832	6.099	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1402	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_SCENE	GAZE	STATE	52.833	53.432	0.599	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1585	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_HMI	GAZE	STATE	53.433	54.266	0.833	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1603	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_SCENE	GAZE	STATE	54.267	65.399	11.132	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1628	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_PHONE	GAZE	STATE	65.400	91.199	25.799	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1962	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_SCENE	GAZE	STATE	91.200	92.599	1.399	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2736	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_HMI	GAZE	STATE	92.600	93.366	0.766	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2778	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_SCENE	GAZE	STATE	93.367	96.832	3.465	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2801	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_HMI	GAZE	STATE	96.833	102.332	5.499	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2905	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_SCENE	GAZE	STATE	102.333	104.666	2.333	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3070	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_HMI	GAZE	STATE	104.667	105.399	0.732	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3140	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_PHONE	GAZE	STATE	105.400	149.899	44.499	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3162	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_SCENE	GAZE	STATE	149.900	150.932	1.032	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4497	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_HMI	GAZE	STATE	150.933	151.866	0.933	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4528	NA				
P33_R2_B	2026-08-18 19:36:05.263		Media file	player #1:实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P033/P033_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	337.699	405.433|405.433	30.000|30.000	No focal subject	337.654	GAZE_SCENE	GAZE	STATE	151.867	163.532	11.665	实验数据_校准版/P033/P033_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4556	NA				
