Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_PHONE	GAZE	STATE	193.100	222.132	29.032	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	5793	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_HMI	GAZE	STATE	222.133	223.532	1.399	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6664	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_SCENE	GAZE	STATE	223.533	225.332	1.799	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6706	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_HMI	GAZE	STATE	225.333	226.999	1.666	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6760	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_SCENE	GAZE	STATE	227.000	227.532	0.532	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6810	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_HMI	GAZE	STATE	227.533	228.132	0.599	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6826	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_SCENE	GAZE	STATE	228.133	229.432	1.299	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6844	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_HMI	GAZE	STATE	229.433	231.599	2.166	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6883	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_PHONE	GAZE	STATE	231.600	286.732	55.132	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	6948	NA				
P035_R1_A	2026-08-18 20:40:42.419		Media file	player #1:实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P035/P035_R1_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	320.799	544.567|544.567	30.000|30.000	No focal subject	320.75	GAZE_SCENE	GAZE	STATE	286.733	287.632	0.899	实验数据_校准版/P035/P035_R1_A_BASELINE_HMI_BORIS_SYNC.mp4	8601	NA				
